index,ME_NA,claimed,year_2003,mil_barr,pol_check,pol_build,rel_place,util_elec,gov_polit,terr_nonstate,mil_check,explo_vehicle,explo_unknown,firearm_unknown,firearm_rifle,explo_project,explo_other,firearm_handgun,claim_internet,claim_note,claim_personal,ishostkid,Iraq,Afghanistan,India,Columbia,Syria,motive,motive2,topic1,topic2
32,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,"According to authorities, the communiqué left at the scene stated to get out of El Salvador and Nicaragua and called for support for locked up freedom fighters and grand jury resisters.","['accord', 'author', 'communiqué', 'leav', 'scene', 'salvador', 'nicaragua', 'call', 'support', 'lock', 'freedom', 'fighter', 'grand', 'juri', 'resist']",0.03963898867368698,0.9603610038757324
34,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Reprisal for government's response to unrest in Kurdish area,"['repris', 'govern', 'respons', 'unrest', 'kurdish', 'area']",0.897804856300354,0.1021951362490654
36,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,The attack was to create fear amongst the Shiite population in Iraq.,"['creat', 'fear', 'shiit', 'popul', 'iraq']",0.9019646644592285,0.0980353057384491
39,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,"The specific motive is unknown; however, sources noted that the incident occurred amid a recent string of attacks connected to the panchayat elections in West Bengal.","['note', 'occur', 'amid', 'recent', 'string', 'attack', 'connect', 'panchayat', 'elect', 'west', 'bengal']",0.22980943322181702,0.7701905965805054
40,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,The specific motive for the attack is to intimidate foreign governments working in the area.,"['intimid', 'foreign', 'govern', 'work', 'area']",0.10655775666236877,0.8934422135353088
42,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,"The specific motive is unknown; however, sources speculated that the attack was part of a larger trend of violence aimed at disrupting the June 14, 2014 run-off presidential elections.","['larger', 'trend', 'violenc', 'aim', 'disrupt', 'june', 'presidenti', 'elect']",0.9102254509925842,0.08977453410625458
44,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,The specific motive for the attack was to intimidate and prevent people from voting.,"['intimid', 'prevent', 'peopl', 'vote']",0.12419004738330841,0.8758099675178528
47,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, peace talks between the New People's Army (NPA) and the government were recently called off in the face of the government's refusal to release incarcerated NPA members.","['peac', 'talk', 'peopl', 'armi', 'govern', 'recent', 'call', 'face', 'govern', 'refus', 'releas', 'incarcer', 'member']",0.5812962651252747,0.41870373487472534
51,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, sources noted that the attack occurred as Lebanese security forces were carrying out military operations targeting the Islamic State of Iraq and the Levant (ISIL).","['note', 'occur', 'lebanes', 'secur', 'forc', 'carri', 'militari', 'oper', 'islam', 'state', 'iraq', 'levant', 'isil']",0.8725857138633728,0.1274143010377884
54,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, sources speculated that the victims, who were Christian, may have been targeted as part of a larger trend of sectarian violence between Nigeria's Muslim population in the north and Christian population in the south.  Sources also noted that the attack, which occurred on Easter, may have been part of a larger pattern of attacks by Boko Haram on major Christian holidays.","['victim', 'christian', 'larger', 'trend', 'sectarian', 'violenc', 'nigeria', 'muslim', 'popul', 'north', 'christian', 'popul', 'south', 'note', 'occur', 'easter', 'larger', 'pattern', 'attack', 'boko', 'haram', 'major', 'christian', 'holiday']",0.8283625841140747,0.17163746058940887
56,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,"The specific motive is unknown; however, sources indicated that the attack on a police patrol in Samarra was part of Al-Qa'ida in Iraq's attempt to disrupt security plans for the upcoming Arab Summit.","['indic', 'polic', 'patrol', 'samarra', 'iraq', 'attempt', 'disrupt', 'secur', 'plan', 'upcom', 'arab', 'summit']",0.07777614891529083,0.9222238063812256
62,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,"In a statement claiming responsibility, a Tehrik-i-Taliban Pakistan (TTP) spokesperson stated the attack was carried out to avenge the death of TTP chief, Hakimullah Mehsud, in a drone strike.","['claim', 'respons', 'tehrik', 'taliban', 'pakistan', 'spokesperson', 'carri', 'aveng', 'death', 'chief', 'hakimullah', 'mehsud', 'drone', 'strike']",0.07686900347471237,0.923130989074707
67,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, sources speculated that the attack was launched in response to a recent Yemeni military offensive launched against al-Manaseh in al-Bayda, an Al-Qa ida in the Arabian Peninsula (AQAP) stronghold.  The military offensive occurred following the collapse of negotiations for the release of three Western hostages, a Finnish couple and Australian man, held by the group.","['launch', 'respons', 'recent', 'yemeni', 'militari', 'offens', 'launch', 'manaseh', 'bayda', 'arabian', 'peninsula', 'aqap', 'stronghold', 'militari', 'offens', 'occur', 'follow', 'collaps', 'negoti', 'releas', 'western', 'hostag', 'finnish', 'coupl', 'australian', 'hold', 'group']",0.9769606590270996,0.023039350286126137
74,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"The specific motive is unknown; however, sources speculated that the attack, which targeted a Shiite funeral, was part of a larger trend of sectarian violence between Iraq's Sunni minority and Shiite majority communities.","['shiit', 'funer', 'larger', 'trend', 'sectarian', 'violenc', 'iraq', 'sunni', 'minor', 'shiit', 'major', 'communiti']",0.958955705165863,0.04104430228471756
76,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,The specific motive for the attack is unknown or was not reported.,['report'],0.26462236046791077,0.7353776097297668
79,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,The Taliban claimed responsibility and stated that the attack was in retaliation for a recent incident in which North Atlantic Treaty Organization (NATO) troops burned Qurans at Bagram Air Base.,"['taliban', 'claim', 'respons', 'retali', 'recent', 'north', 'atlant', 'treati', 'organ', 'nato', 'troop', 'burn', 'quran', 'bagram', 'base']",0.04414485767483711,0.955855131149292
80,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,"The Jewish Defense League (JDL) claimed responsibility for the attack, stating that the victim was being punished for performing the quenelle, an anti-Semitic gesture.","['jewish', 'defens', 'leagu', 'claim', 'respons', 'state', 'victim', 'punish', 'perform', 'quenell', 'anti', 'semit', 'gestur']",0.935139000415802,0.0648610070347786
86,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,"The specific motive is unknown; however, sources suspected that the victims, who were Shiite pilgrims traveling from Syria to Lebanon, may have been targeted as part of a larger trend of sectarian violence.","['suspect', 'victim', 'shiit', 'pilgrim', 'travel', 'syria', 'lebanon', 'larger', 'trend', 'sectarian', 'violenc']",0.9491248726844788,0.05087514594197273
88,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, sources suspected that the assailants detonated the explosives-laden vehicle to intimidate locals into not opening their businesses on Friday, a Muslim holy day, and not speaking with security forces.","['suspect', 'assail', 'deton', 'explos', 'lade', 'vehicl', 'intimid', 'local', 'open', 'busi', 'friday', 'muslim', 'holi', 'speak', 'secur', 'forc']",0.039122529327869415,0.9608774781227112
89,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,The presence of Shia Muslims at the camp was the reason for the attack.,"['presenc', 'shia', 'muslim', 'camp', 'reason']",0.887153685092926,0.11284630745649338
90,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, pro-government elders are routinely targeted in Tehrik-i-Taliban Pakistan (TTP)'s anti-government campaign.","['govern', 'elder', 'routin', 'tehrik', 'taliban', 'pakistan', 'anti', 'govern', 'campaign']",0.0785607174038887,0.9214392900466919
92,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Attack U.S. military presence,"['militari', 'presenc']",0.7741525769233704,0.22584737837314606
93,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, the attack occurred during a spate of incidents targeting suspected security informants.  The attacks followed the death of two extremist group members, who were allegedly discovered through the use of civilian informants.","['occur', 'spate', 'incid', 'suspect', 'secur', 'inform', 'attack', 'follow', 'death', 'extremist', 'group', 'member', 'alleg', 'discov', 'civilian', 'inform']",0.04140964150428772,0.9585903286933899
95,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, sources noted that the attack may have been part of a larger trend of violence related to Bangladesh's nationwide hartal, which began on January 6, 2015.","['note', 'larger', 'trend', 'violenc', 'relat', 'bangladesh', 'nationwid', 'hartal', 'begin', 'januari']",0.9507301449775696,0.04926988109946251
98,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, sources noted that the bomb was discovered 24 hours before the arrival of United States (US) Secretary of State Hillary Clinton to Northern Ireland.","['note', 'bomb', 'discov', 'hour', 'arriv', 'unit', 'state', 'secretari', 'state', 'hillari', 'clinton', 'northern', 'ireland']",0.9501001238822937,0.0498998649418354
104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,To protest the practice of abortion and to sabotage abortion facilities operating in North Carolina.,"['protest', 'practic', 'abort', 'sabotag', 'abort', 'facil', 'oper', 'north', 'carolina']",0.9425761103630066,0.05742383003234863
107,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, George Manuel, the victim and a local election candidate, suspects that the incident was related to the upcoming Filipino elections.","['georg', 'manuel', 'victim', 'local', 'elect', 'candid', 'suspect', 'relat', 'upcom', 'filipino', 'elect']",0.9262306690216064,0.07376936823129654
108,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, sources speculated that the attack, which targeted Shiite pilgrims, was part of a larger trend of sectarian violence between Pakistan's majority Sunni and minority Shiite communities.","['shiit', 'pilgrim', 'larger', 'trend', 'sectarian', 'violenc', 'pakistan', 'major', 'sunni', 'minor', 'shiit', 'communiti']",0.958604097366333,0.04139590263366699
118,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"The specific motive is unknown; however, a source speculated that the attempted bombing may have been intended to undermine the recent peace plan proposed by United Nations (UN) special envoy Kofi Annan.","['sourc', 'attempt', 'bomb', 'intend', 'undermin', 'recent', 'peac', 'plan', 'propos', 'unit', 'nation', 'special', 'envoy', 'kofi', 'annan']",0.8551540970802307,0.14484593272209167
124,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,The specific motive for the attack was a final attempt to target police and security forces in Iraq just days before the United States Military ends its combat mission.,"['final', 'attempt', 'polic', 'secur', 'forc', 'iraq', 'day', 'unit', 'state', 'militari', 'end', 'combat', 'mission']",0.07444892823696136,0.9255510568618774
127,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"While the motive for this attack is unknown, there have been many recent attacks in this area.","['recent', 'attack', 'area']",0.21344131231307983,0.7865586876869202
128,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,The specific motive for the attack was to prevent 14 members of Afghan President Hamid Karzai's Cabinet from being sworn in.,"['prevent', 'member', 'afghan', 'presid', 'hamid', 'karzai', 'cabinet', 'swear']",0.6288480162620544,0.37115195393562317
132,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,An unknown group claimed responsibility for the incident and demanded that Roger Palme retract a recent petition he had submitted.,"['group', 'claim', 'respons', 'demand', 'roger', 'palm', 'retract', 'recent', 'petit', 'submit']",0.9342887997627258,0.06571116298437119
133,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"The specific motive is unknown; however, sources stated that the Tripoli Province of the Islamic State believed that the victims were members of Operation Dawn.","['tripoli', 'provinc', 'islam', 'state', 'believ', 'victim', 'member', 'oper', 'dawn']",0.3625390827655792,0.6374609470367432
134,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers"".","['accord', 'onlin', 'islam', 'state', 'iraq', 'levant', 'isil', 'claim', 'respons', 'state', 'retali', 'iraqi', 'govern', 'alleg', 'crime', 'minor', 'sunni', 'communiti', 'arm', 'islamist', 'outfit', 'claim', 'newli', 'launch', 'offens', 'campaign', 'call', 'harvest', 'soldier']",0.9493569731712341,0.05064305290579796
137,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"The specific motive for the attack is unknown; however, the victim was a state government employee and a former activist of the ruling Communist Party of India-Marxist (CPM).","['victim', 'state', 'govern', 'employe', 'activist', 'rule', 'communist', 'parti', 'india', 'marxist']",0.06842813640832901,0.931571900844574
141,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,To force Long Island University to close,"['forc', 'long', 'island', 'univers', 'close']",0.09666939079761505,0.9033306241035461
145,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,The specific motive for the attack was to intimidate the Albu Duwaib tribe.,"['intimid', 'albu', 'duwaib', 'tribe']",0.1256365329027176,0.8743635416030884
147,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"The specific motive is unknown; however, sources speculated that the attack is part of a larger trend of sectarian violence between Iraq's Sunni minority, Kurdish minority, and Shiite majority communities.","['larger', 'trend', 'sectarian', 'violenc', 'iraq', 'sunni', 'minor', 'kurdish', 'minor', 'shiit', 'major', 'communiti']",0.9587968587875366,0.04120310768485069
148,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Ehsanullah Ehsan, spokesperson for Tehrik-i-Taliban Pakistan (TTP), claimed responsibility for the attack, stating that the police were targeted because they were killing TTP members.","['ehsanullah', 'ehsan', 'spokesperson', 'tehrik', 'taliban', 'pakistan', 'claim', 'respons', 'state', 'polic', 'kill', 'member']",0.06690078973770142,0.9330992102622986
149,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,The Taliban claimed responsibility for the incident and accused the victims of working for the Afghan intelligence agency.,"['taliban', 'claim', 'respons', 'accus', 'victim', 'work', 'afghan', 'intellig', 'agenc']",0.07262301445007324,0.927376925945282
150,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"The specific motive is unknown; however, sources suspected that the civilians were targeted because of their support for the Afghan government.","['suspect', 'civilian', 'support', 'afghan', 'govern']",0.13078463077545166,0.8692153692245483
151,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,The attack was in retaliation for Israeli killings and the imprisonment of Palestinians.,"['retali', 'isra', 'kill', 'imprison', 'palestinian']",0.2018628716468811,0.7981371283531189
153,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, the attack coincided with National Coming Out Day, which took place on October 11, 2012.","['coincid', 'nation', 'come', 'take', 'place', 'octob']",0.11668092757463455,0.883319079875946
154,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"The specific motive is unknown; however, sources noted that the attack occurred several hours after United States (US) Secretary of Defense Leon Panetta's visit to the base.","['note', 'occur', 'hour', 'unit', 'state', 'secretari', 'defens', 'leon', 'panetta', 'visit', 'base']",0.13622991740703583,0.863770067691803
156,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,The specific motive for the attack is to punish and prevent people from extorting money in the name of the ultras.,"['punish', 'prevent', 'peopl', 'extort', 'money', 'ultra']",0.09577345848083496,0.904226541519165
158,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,"The specific motive is unknown; however, sources posited that a picture of the Islamic State of Iraq and the Levant (ISIL) flag and its leader were discovered on Ivan Armadi Hasugian's phone.","['posit', 'pictur', 'islam', 'state', 'iraq', 'levant', 'isil', 'flag', 'leader', 'discov', 'ivan', 'armadi', 'hasugian', 'phone']",0.9388326406478882,0.061167363077402115
161,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unknown; the Tigers have been fighting the majority government for a separate state for ethnic Tamils since 1983.,"['tiger', 'fight', 'major', 'govern', 'separ', 'state', 'ethnic', 'tamil']",0.6397335529327393,0.36026644706726074
164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Police sources reported the action as an attempt to boycott the upcoming elections.,"['polic', 'report', 'action', 'attempt', 'boycott', 'upcom', 'elect']",0.08407574892044067,0.9159242510795593
168,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Specific motive is unknown, but sources speculate about whether the incident was intended to encourage ethnic clashes","['intend', 'encourag', 'ethnic', 'clash']",0.16330833733081818,0.836691677570343
173,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"The specific motive is unknown; however, sources speculated that the attack is part of a larger trend of sectarian violence between Iraq's Sunni minority and Shiite majority communities.","['larger', 'trend', 'sectarian', 'violenc', 'iraq', 'sunni', 'minor', 'shiit', 'major', 'communiti']",0.9517738223075867,0.048226162791252136
174,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The government believed the incident was intended to create political chaos prior to the censure debate against the cabinet of Prime Minister Chuan Leekpai, scheduled for Jan. 27-28, 1999.","['govern', 'believ', 'intend', 'creat', 'polit', 'chao', 'prior', 'censur', 'debat', 'cabinet', 'prime', 'minist', 'chuan', 'leekpai', 'schedul']",0.31885474920272827,0.6811453104019165
177,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"The specific motive is unknown; however, sources noted that the victim was a member of a provincial peace council working to engage the Taliban in negotiations.","['note', 'victim', 'member', 'provinci', 'peac', 'council', 'work', 'engag', 'taliban', 'negoti']",0.6625155210494995,0.3374844789505005
178,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive is unknown; however, sources noted that the targeted school was serving as a polling center for the elections, which were scheduled for May 9, 2016.","['note', 'school', 'serv', 'poll', 'center', 'elect', 'schedul']",0.5202987194061279,0.47970134019851685
179,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,The specific motive for the attack is unknown or was not reported.,['report'],0.26462462544441223,0.7353753447532654
180,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"The specific motive is unknown; however, sources speculated that the attack, which targeted a Turkmen Shiite village, is part of a larger trend of sectarian violence between Iraq's Sunni minority and Shiite majority communities.","['turkmen', 'shiit', 'villag', 'larger', 'trend', 'sectarian', 'violenc', 'iraq', 'sunni', 'minor', 'shiit', 'major', 'communiti']",0.9618726372718811,0.03812738507986069
186,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"Note: The Incident summary reads ""two bomber."" It should be ""two bombers.""","['note', 'summari', 'read', 'bomber', 'bomber']",0.11011874675750732,0.8898813128471375
